2026-06-22 12:16:15 [pipeline-a] INFO start Démarrage — schedule trigger=schedule snapshotTimestamp=2026-06-22T12:16:15+02:00
2026-06-22 12:16:18 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/2050-la-fin-des-poissons → 200 (802ms)
2026-06-22 12:16:21 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/2057 → 200 (375ms)
2026-06-22 12:16:24 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/2068-en-direct-du-futur → 200 (622ms)
2026-06-22 12:16:26 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/3-wanted → 200 (174ms)
2026-06-22 12:16:28 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/4-pour-lespoir → 200 (173ms)
2026-06-22 12:16:30 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/aicha-et-la-promesse-de-la-serre → 200 (173ms)
2026-06-22 12:16:32 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/apocalypse-bleue → 200 (446ms)
2026-06-22 12:16:34 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/aryo-le-prix-cache-de-la-mode → 200 (174ms)
2026-06-22 12:16:35 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/au-dela-des-dechets → 200 (175ms)
2026-06-22 12:16:36 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/au-dela-du-hors-jeu → 200 (209ms)
2026-06-22 12:16:39 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/aura → 200 (172ms)
2026-06-22 12:16:41 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/avec-ou-sans-huile-de-palme → 200 (172ms)
2026-06-22 12:16:42 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/avoir-de-leau-plus-pres → 200 (175ms)
2026-06-22 12:16:44 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/aya-et-la-maison-en-bidon → 200 (170ms)
2026-06-22 12:16:47 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/bacterium-carbonivora → 200 (235ms)
2026-06-22 12:16:48 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/bas-prix-quel-cout → 200 (174ms)
2026-06-22 12:16:50 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/beirut-crie-le-liban-sest-leve → 200 (170ms)
2026-06-22 12:16:53 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/bouchons-gratines-nou-le-fatigues → 200 (171ms)
2026-06-22 12:16:55 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/bout-de-souffle → 200 (173ms)
2026-06-22 12:16:58 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/bout-de-souffle-0 → 200 (173ms)
2026-06-22 12:17:01 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/ce-que-lavenir-me-doit → 200 (478ms)
2026-06-22 12:17:04 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/ce-quils-voyaientce-quelle-etait → 200 (725ms)
2026-06-22 12:17:06 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/chantons-contre-la-pollution → 200 (194ms)
2026-06-22 12:17:07 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/chaque-goutte-compte → 200 (166ms)
2026-06-22 12:17:09 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/chimali → 200 (164ms)
2026-06-22 12:17:11 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/contre-futur → 200 (164ms)
2026-06-22 12:17:13 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/conversation-electrique-0 → 200 (166ms)
2026-06-22 12:17:16 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/coraux-chaud-devant → 200 (164ms)
2026-06-22 12:17:20 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/courir-pour-choisir → 200 (458ms)
2026-06-22 12:17:21 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/de-vieux-tissus-de-nouvelles-idees → 200 (163ms)
2026-06-22 12:17:24 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/des-abeilles-et-des-hommes → 200 (480ms)
2026-06-22 12:17:27 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/des-algues-contre-le-plastique → 200 (163ms)
2026-06-22 12:17:28 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/des-nuances-de-rouges → 200 (163ms)
2026-06-22 12:17:31 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/des-voix-qui-comptent → 200 (285ms)
2026-06-22 12:17:32 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/desinstallation-amoureuse → 200 (164ms)
2026-06-22 12:17:34 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/deux-bateaux-un-avenir → 200 (164ms)
2026-06-22 12:17:36 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/deux-bidons-deau-par-jour → 200 (428ms)
2026-06-22 12:17:38 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/du-chocolat-au-gout-amer → 200 (167ms)
2026-06-22 12:17:40 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/du-local-au-global → 200 (462ms)
2026-06-22 12:17:42 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/eau-secours → 200 (163ms)
2026-06-22 12:17:44 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/eco-systeme-d → 200 (170ms)
2026-06-22 12:17:46 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/elio → 200 (513ms)
2026-06-22 12:17:48 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/elyndor → 200 (163ms)
2026-06-22 12:17:49 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/enfances-volees → 200 (166ms)
2026-06-22 12:17:52 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/entre-deux-lettres → 200 (167ms)
2026-06-22 12:17:55 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/fast-fashion-more-pression → 200 (165ms)
2026-06-22 12:17:57 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/femmeland → 200 (536ms)
2026-06-22 12:17:58 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/femmes-cen-est-assez-battez-vous → 200 (170ms)
2026-06-22 12:18:00 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/france-ghana → 200 (173ms)
2026-06-22 12:18:01 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/fuir-pour-etre-libre → 200 (171ms)
2026-06-22 12:18:02 [pipeline-a] INFO http_request/fetch GET https://offre-pedagogique.afd.fr/fr/ressources/futur-ia → 200 (265ms)
